iter	RMSE
0	91.94365591
1	89.90097918
2	88.21364934
3	86.42179109
4	84.63060897
5	83.06991941
6	81.67285848
7	80.27465433
8	79.00924456
9	77.96033872
10	76.86923994
11	75.84816019
12	74.89741073
13	74.02900435
14	73.16613688
15	72.36759939
16	71.54453551
17	70.97770814
18	70.3736749
19	69.80732412
20	69.23109519
21	68.73827405
22	68.33614979
23	67.92203076
24	67.54649585
25	67.11662278
26	66.75363366
27	66.46542048
28	66.22091681
29	65.9232623
30	65.62832993
31	65.36362716
32	65.06513493
33	64.83894179
34	64.59126568
35	64.40657219
36	64.19657328
37	64.10486453
38	63.89877714
39	63.7551404
40	63.60795763
41	63.42521541
42	63.27852655
43	63.12837192
44	62.96874732
45	62.84242952
46	62.70904382
47	62.53532136
48	62.39317278
49	62.2803491
50	62.18514721
51	62.03472212
52	61.96054546
53	61.83985751
54	61.70133161
55	61.63197649
56	61.56434791
57	61.45967927
58	61.39623456
59	61.3168481
60	61.21213145
61	61.12605237
62	61.03115566
63	60.95399544
64	60.88218588
65	60.78672662
66	60.71725691
67	60.61237013
68	60.52848517
69	60.48768654
70	60.42482125
71	60.37324436
72	60.32692676
73	60.21944735
74	60.11152643
75	60.05991908
76	60.0018793
77	59.94546728
78	59.8629899
79	59.82030878
80	59.74158235
81	59.69473881
82	59.60608204
83	59.56707969
84	59.5458427
85	59.49830036
86	59.43363816
87	59.39824172
88	59.32271506
89	59.27243031
90	59.20938167
91	59.14947595
92	59.06167264
93	59.01894198
94	58.97422981
95	58.94044657
96	58.87419399
97	58.8261932
98	58.80546504
99	58.77303078
100	58.74434259
101	58.70678778
102	58.67102891
103	58.63296954
104	58.60919795
105	58.58675533
106	58.56014612
107	58.51538355
108	58.450215
109	58.38539396
110	58.32637069
111	58.30491661
112	58.27933805
113	58.24879138
114	58.23004319
115	58.21853193
116	58.18772472
117	58.1577207
118	58.11996613
119	58.10161258
120	58.07010244
121	58.04900354
122	58.01670506
123	57.97680267
124	57.95112244
125	57.90208317
126	57.88143353
127	57.84298539
128	57.82156121
129	57.76698054
130	57.69567532
131	57.67631081
132	57.63147113
133	57.6136674
134	57.58881809
135	57.5660946
136	57.52905223
137	57.46780301
138	57.43598615
139	57.36838479
140	57.34775785
141	57.32127121
142	57.25285859
143	57.23057001
144	57.18150151
145	57.15516217
146	57.08262586
147	57.03201683
148	57.00781252
149	56.94539076
150	56.88012359
151	56.84599304
152	56.7993544
153	56.76085911
154	56.68694004
155	56.65092327
